group,slug,url,status
healthcare,respiratory-therapists,https://www.bls.gov/ooh/healthcare/respiratory-therapists.htm,cached
healthcare,surgical-technologists,https://www.bls.gov/ooh/healthcare/surgical-technologists.htm,cached
healthcare,veterinary-technologists-and-technicians,https://www.bls.gov/ooh/healthcare/veterinary-technologists-and-technicians.htm,cached
construction-and-extraction,electricians,https://www.bls.gov/ooh/construction-and-extraction/electricians.htm,cached
management,medical-and-health-services-managers,https://www.bls.gov/ooh/management/medical-and-health-services-managers.htm,cached
community-and-social-service,marriage-and-family-therapists,https://www.bls.gov/ooh/community-and-social-service/marriage-and-family-therapists.htm,cached
management,preschool-and-childcare-center-directors,https://www.bls.gov/ooh/management/preschool-and-childcare-center-directors.htm,cached
management,social-and-community-service-managers,https://www.bls.gov/ooh/management/social-and-community-service-managers.htm,cached
healthcare,podiatrists,https://www.bls.gov/ooh/healthcare/podiatrists.htm,cached
healthcare,chiropractors,https://www.bls.gov/ooh/healthcare/chiropractors.htm,cached
entertainment-and-sports,music-directors-and-composers,https://www.bls.gov/ooh/entertainment-and-sports/music-directors-and-composers.htm,cached
community-and-social-service,community-health-workers,https://www.bls.gov/ooh/community-and-social-service/community-health-workers.htm,cached
business-and-financial,tax-examiners-and-collectors-and-revenue-agents,https://www.bls.gov/ooh/business-and-financial/tax-examiners-and-collectors-and-revenue-agents.htm,cached
life-physical-and-social-science,urban-and-regional-planners,https://www.bls.gov/ooh/life-physical-and-social-science/urban-and-regional-planners.htm,cached
architecture-and-engineering,surveyors,https://www.bls.gov/ooh/architecture-and-engineering/surveyors.htm,cached
